Gender,Employment,First Generation Indicator,New to Ames,Classification,Favorite Restaurant,Favorite Food Type,# Caffeinated Drinks,Height (inches),Shoe size,Length of Relationship,Technology effects,Age for Electronics,Football,Enthusiasm
male,Full-time student,No,No,Sophomore,I just went to the new restaurant by the movie theater.  I'm pretty sure its called Jethro's.,American cuisine,0,74,11.5,0,No,16,Yes,False
male,Full-time student,No,No,Junior,Blaze Pizza,I like all types of food;I do not have a preference.,2,77,13.5,6,Yes,12,Yes,True
female,Full-time student,No,No,Sophomore,Pancheros,I like all types of food;I do not have a preference.,4,66,9,6,No,14,Yes,True
male,Full-time student,No,No,Sophomore,Buffalo Wild Wings,I like all types of food;I do not have a preference.,3,72,11,5,No,12,Yes,True
male,Full-time student,No,No,Sophomore,HuHot,American cuisine,1,67,10.5,62,No,16,Yes,True
male,Part-time and/or working student,Yes,No,Sophomore,Hickory Park,Mexican cuisine,0,69,10.5,4,No,14,Yes,True
male,Full-time student,No,No,Sophomore,No Preference,I like all types of food;I do not have a preference.,0,72,11.5,2,No,14,Yes,True
male,Full-time student,No,No,Junior,The Spice Thai Cuisine,I like all types of food;I do not have a preference.,6,70,9.5,6,No,13,No,True
male,Full-time student,Yes,Yes,Sophomore,Texas Roadhouse,American cuisine,2,75,9.5,6,No,10,Yes,True
male,Full-time student,No,Yes,Sophomore,My favorite restaurant in Ames is Indian Delights.,Asian cuisine,0,67 inches tall,8,12,Yes,15,Yes,True
female,Full-time student,No,No,Sophomore,The Cafe.,I like all types of food;I do not have a preference.,0,64,9,23,No,13,No,True
male,Full-time student,No,No,Sophomore,Blaze,I like all types of food;I do not have a preference.,1,72,11.5,4,Yes,13,No,True
female,Full-time student,No,Yes,Freshman, Fuzzy's Taco Shop,I like all types of food;I do not have a preference.,1,67,11,5,No,12,Yes,True
male,Full-time student,No,Yes,Junior,Hickory Park,Mexican cuisine,0,72,10.5,2,No,13,Yes,True
female,Full-time student,No,No,Sophomore,texas road house,I like all types of food;I do not have a preference.,1,66,7,11,No,12,Yes,True
female,Full-time student,No,No,Sophomore,El Azteca,American cuisine,1,65,7.5,19,Yes,14,Yes,True
male,Full-time student,No,No,Sophomore,Pizza Pit,American cuisine,0,73,11.5,4,No,13,Yes,True
male,Full-time student,Yes,Yes,Junior,The Fighting Burrito,Mexican cuisine,3,77,12,5,Yes,12,Yes,True
male,Full-time student,Yes,No,Senior,Cafe Beaudelaire,I like all types of food;I do not have a preference.,1,69,10.5,36,No,14,No,False
male,Full-time student,No,No,Junior,Hickory park,I like all types of food;I do not have a preference.,5,71,11,0,Yes,13,Yes,False
male,Full-time student,No,No,Sophomore,Olde Main Brewing Company,American cuisine,0,74,11,1,No,12,No,True
female,Full-time student,Yes,No,Junior,Great Plains has the best pizza and thick crusts!,American cuisine,1,65,10,60,No,13,Yes,True
female,Full-time student,No,No,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,1,64,7,12,Yes,14,Yes,True
male,Full-time student,No,No,Junior,Huhot.,American cuisine,1,74,10.5,48,Yes,14,Yes,True
female,Full-time student,No,No,Sophomore,Texas Road House,American cuisine,0,64,7.5,32,Yes,12,Yes,True
female,Full-time student,No,No,Sophomore,"I really like Hickory Park, which is the restaurant I always visit when my parents come to town.",American cuisine,1,66,10,30,Yes,15,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park,Mexican cuisine,0,73,12,23,Yes,15,Yes,True
female,Full-time student,No,No,Sophomore,Fuji Japanese Steakhouse,American cuisine,1,66,9,24,Yes,13,Yes,True
male,Full-time student,Yes,No,Sophomore,Pancheros,American cuisine,3,74,11,8,Yes,13,No,True
female,Full-time student,No,No,Sophomore,Blaze Pizza,Mexican cuisine,1,61.2,10,8,Yes,14,Yes,True
male,Full-time student,No,No,Sophomore,Pepper Jax,I like all types of food;I do not have a preference.,1,70,10.5,32,Yes,14,Yes,True
female,Full-time student,No,No,Sophomore,Whiskey River,I like all types of food;I do not have a preference.,1,66,10,1,Yes,14,No,True
male,Full-time student,No,No,Junior,Hickory Park,I like all types of food;I do not have a preference.,2,77,13,24,Yes,15,Yes,True
male,Full-time student,No,No,Sophomore,Aunt Maude's,Mexican cuisine,3,71,10,8,No,10,Yes,True
male,Part-time and/or working student,No,Yes,Sophomore,El Azteca,I like all types of food;I do not have a preference.,3,70,10.5,64,No,3,No,True
female,Part-time and/or working student,No,No,Sophomore,Wallaby's,American cuisine,2,66,9,18,No,12,Yes,True
female,Part-time and/or working student,No,No,Sophomore,Chick-fil-a,Asian cuisine,3,63,7,16,No,13,Yes,False
female,Full-time student,Yes,No,Junior,I don't eat out very often. I like to cook my own food in my apartment. I haven't been to any restaurant in Ames as of now but I liked conversation dining in the campus.,Asian cuisine,1,66,8.5,24,Yes,14,Yes,True
female,Full-time student,No,No,Sophomore,Hickory Park,Ethnic cuisines,2,68,9.5,38,No,12,Yes,True
female,Full-time student,No,No,Sophomore,Fuzzys,European cuisine,1,70,11,0,Yes,12,Yes,True
male,Full-time student,No,No,Senior,The Cafe,I like all types of food;I do not have a preference.,2,85,13,0,No,16,Yes,False
female,Full-time student,Yes,Yes,Junior,Jeff's Pizza,European cuisine,4,67,9,0,No,11,Yes,True
female,Full-time student,Yes,No,Junior,My favorite restaurant in Ames is the Mongolian Buffet.,American cuisine,1,66,10,58,Yes,13,No,True
male,Full-time student,No,No,Sophomore,The Great Plains Sauce &amp; Dough Co.,Mexican cuisine,3,72,12,5,No,18,Yes,True
female,Full-time student,No,No,Sophomore,+39 Restaurant and Cantina,European cuisine,1,64,7.5,10,Yes,13,Yes,True
male,Full-time student,No,No,Sophomore,Texas Roadhouse,I like all types of food;I do not have a preference.,2,71,11.5,24,No,14,Yes,True
female,Full-time student,No,No,Sophomore, red lobster,I like all types of food;I do not have a preference.,3,66,7.5,6,No,15,Yes,True
male,Full-time student,No,No,Sophomore,Chic fil a,I like all types of food;I do not have a preference.,1,70,10.5,20,No,14,Yes,True
female,Full-time student,No,Yes,Junior,Wallabys,Mexican cuisine,2,66,10, 18,Yes,12,Yes,True
male,Full-time student,No,No,Sophomore,Wallaby's Bar and Grille,American cuisine,0,75,11,48,No,14,Yes,True
female,Full-time student,Yes,Yes,Junior,Fighting Burrito,Mexican cuisine,0,68,8.5,18,No,14,Yes,True
male,Full-time student,No,No,Sophomore,Fuzzy's,Mexican cuisine,3,72,11,12,Yes,14,Yes,True
male,Full-time student,No,No,Sophomore,El Azteca,American cuisine,0,72,10.5,0,No,10,No,True
male,Full-time student,No,No,Sophomore,Brick city grill,I like all types of food;I do not have a preference.,2,74,10,38,No,14,Yes,False
female,Full-time student,No,No,Junior,Thai Kitchen,I like all types of food;I do not have a preference.,2,71,9,0,No,10,No,True
female,Full-time student,No,Yes,Sophomore,Stomping Grounds,I like all types of food;I do not have a preference.,2,68,8,24,Yes,13,Yes,True
male,Full-time student,No,No,Junior,Mr. Burrito,Asian cuisine,1,69,10.5,0,Yes,17,Yes,True
female,Full-time student,No,No,Sophomore,Chick-fil-A,I like all types of food;I do not have a preference.,0,72,11,0,Yes,13,No,True
male,Full-time student,Yes,No,Sophomore,Hickory Park,Mexican cuisine,1,67,10,16,No,12,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park!,American cuisine,4,74,12,3,No,14,Yes,True
